City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
86,hilo,20,US,1565244572,65,19.71,-155.08,79.0,3.36
87,les cayes,65,HT,1565244572,81,18.19,-73.75,82.72,13.29
88,grajewo,100,PL,1565244573,98,53.65,22.46,60.58,6.51
89,yulara,0,AU,1565244412,23,-25.24,130.99,64.4,5.82
90,kavaratti,100,IN,1565244573,79,10.57,72.64,83.26,25.32
91,biysk,33,RU,1565244573,48,52.54,85.21,80.56,2.53
92,hithadhoo,100,MV,1565244574,79,-0.6,73.08,83.62,15.79
93,chiavari,75,IT,1565244574,83,44.32,9.32,75.99,4.7
94,bambous virieux,20,MU,1565244574,64,-20.34,57.76,75.99,9.17
95,rocha,33,UY,1565243966,81,-34.48,-54.34,45.82,4.85
96,ponta do sol,0,BR,1565244575,88,-20.63,-46.0,58.24,3.96
97,vila velha,0,BR,1565244575,73,-3.71,-38.6,77.0,11.41
98,narsaq,97,GL,1565244575,81,60.91,-46.05,42.8,4.7
99,busselton,90,AU,1565244576,46,-33.64,115.35,62.01,14.94
100,haines junction,100,CA,1565244206,90,60.75,-137.51,49.6,4.85
101,grindavik,0,IS,1565244577,70,63.84,-22.43,46.4,18.34
102,kahului,40,US,1565244577,100,20.89,-156.47,78.01,8.05
103,rosetta,40,EG,1565244578,74,31.4,30.42,80.6,4.7
104,fukue,20,JP,1565244578,66,35.03,136.69,99.0,16.11
105,bom jesus,40,BR,1565244579,100,-5.99,-35.58,69.8,3.36
106,smithers,20,CA,1565243917,53,54.78,-127.17,71.6,6.93
107,coracora,0,PE,1565244579,51,-15.02,-73.78,42.4,2.44
108,rawson,0,AR,1565243999,57,-43.3,-65.11,38.44,9.8
109,komsomolskiy,35,RU,1565243996,71,67.55,63.78,52.84,17.67
110,kashan,0,IR,1565244580,26,33.99,51.44,91.4,9.17
111,umm kaddadah,27,SD,1565244580,65,13.6,26.69,80.02,13.18
112,hornepayne,69,CA,1565244580,94,49.22,-84.78,53.74,5.97
113,puro,100,PH,1565244581,79,13.13,123.76,83.26,19.46
114,beloha,0,MG,1565244581,21,-25.17,45.06,77.5,12.21
115,denpasar,20,ID,1565244581,74,-8.65,115.22,82.4,14.99
116,hofn,2,IS,1565244219,81,64.25,-15.21,31.96,12.5
117,torbay,90,CA,1565243982,100,47.66,-52.73,55.99,5.82
118,san quintin,100,PH,1565244222,93,17.54,120.52,76.96,24.61
119,aras,20,ES,1565244582,72,42.56,-2.36,72.0,11.41
120,arraial do cabo,2,BR,1565244583,91,-22.97,-42.02,66.16,14.5
121,castro,40,CL,1565244583,93,-42.48,-73.76,35.6,5.82
122,atuona,0,PF,1565244583,77,-9.8,-139.03,80.02,21.14
123,wonthaggi,37,AU,1565244584,66,-38.6,145.59,55.0,14.52
124,dikson,100,RU,1565244584,86,73.51,80.55,48.88,13.71
125,faanui,25,PF,1565244584,80,-16.48,-151.75,79.12,18.97
